,titles,abstracts
0,[PDF][PDF] Natural language processing,"Description/Abstract Natural Language Processing (NLP) is the computerized approach to analyzing text that is based on both a set of theories and a set of technologies. And, being a very active area of research and development, there is not a single agreed-upon definition …"
1,Allennlp: A deep semantic natural language processing platform,"This paper describes AllenNLP, a platform for research on deep learning methods in natural language understanding. AllenNLP is designed to support researchers who want to build novel language understanding models quickly and easily. It is built on top of PyTorch …"
2,Sentiment analysis: Capturing favorability using natural language processing,"This paper illustrates a sentiment analysis approach to extract sentiments associated with polarities of positive or negative for specific subjects from a document, instead of classifying the whole document into positive or negative. The essential issues in sentiment analysis are …"
3,Natural language processing: an introduction,Objectives To provide an overview and tutorial of natural language processing (NLP) and modern NLP-system design. Target audience This tutorial targets the medical informatics generalist who has limited acquaintance with the principles behind NLP and/or limited …
4,Introduction to Arabic natural language processing,This book provides system developers and researchers in natural language processing and computational linguistics with the necessary background information for working with the Arabic language. The goal is to introduce Arabic linguistic phenomena and review the state …
5,Advances in natural language processing,"Natural language processing employs computational techniques for the purpose of learning, understanding, and producing human language content. Early computational approaches to language research focused on automating the analysis of the linguistic structure of language  …"
6,[PDF][PDF] Ask me anything: Dynamic memory networks for natural language processing,"Most tasks in natural language processing can be cast into question answering (QA) problems over language input. We introduce the dynamic memory network (DMN), a neural network architecture which processes input sequences and questions, forms episodic …"
7,Transformation-based error-driven learning and natural language processing: A case study in part-of-speech tagging,"Recently, there has been a rebirth of empiricism in the field of natural language processing. Manual encoding of linguistic information is being challenged by automated corpus-based learning as a method of providing a natural language processing system with linguistic …"
8,A primer on neural network models for natural language processing,"Over the past few years, neural networks have re-emerged as powerful machine-learning models, yielding state-of-the-art results in fields such as image recognition and speech processing. More recently, neural network models started to be applied also to textual …"
9,[BOOK][B] Handbook of natural language processing,"Library of Congress Cataloging-in-Publication Data Handbook of natural language 
processing/edited by Robert Dale, Hermann Moisl, Harold Somers. p. cm. ISBN: 
0-8247-9000-6 (alk. paper) 1. Natural language processing (Computer …"
10,Jumping NLP curves: A review of natural language processing research,Natural language processing (NLP) is a theory-motivated range of computational techniques for the automatic analysis and representation of human language. NLP research has evolved from the era of punch cards and batch processing (in which the analysis of a …
11,Detection of duplicate defect reports using natural language processing,"Defect reports are generated from various testing and development activities in software engineering. Sometimes two reports are submitted that describe the same problem, leading to duplicate reports. These reports are mostly written in structured natural language, and as …"
12,Sentiment analyzer: Extracting sentiments about a given topic using natural language processing techniques,"We present sentiment analyzer (SA) that extracts sentiment (or opinion) about a subject from online text documents. Instead of classifying the sentiment of an entire document about a subject, SA detects all references to the given subject, and determines sentiment in each of …"
13,Neural network methods for natural language processing,Neural networks are a family of powerful machine learning models. This book focuses on the application of neural network models to natural language data. The first half of the book (Parts I and II) covers the basics of supervised machine learning and feed-forward neural …
14,[BOOK][B] Natural language processing for Prolog programmers,"1.2 Language from a scientific viewpoint 2 … 1.4 Levels of linguistic analysis 5 1.4.1 
Phonology, 5 1.4.2 Morphology, 6 1.4.3 Syntax, 7 1.4.4 Semantics, 9 1.4.5 Pragmatics, 10 … 
2.2.1 Recipe for a template system, 16 2.2.2 Implementing simplification rules, 19 2.2.3 Implementing …"
15,[BOOK][B] Natural language processing and text mining,"The topic this book addresses originated from a panel discussion at the 2004 ACM SIGKDD (Special Interest Group on Knowledge Discovery and Data Mining) Conference held in Seattle, Washington, USA. We the editors or-nized the panel to promote discussion on how …"
16,[PDF][PDF] A survey on hate speech detection using natural language processing,"This paper presents a survey on hate speech detection. Given the steadily growing body of social media content, the amount of online hate speech is also increasing. Due to the massive scale of the web, methods that automatically detect hate speech are required. Our …"
17,Arabic natural language processing: Challenges and solutions,The Arabic language presents researchers and developers of natural language processing (NLP) applications for Arabic text and speech with serious challenges. The purpose of this article is to describe some of these challenges and to present some solutions that would …
18,[PDF][PDF] Natural language processing for information retrieval,"Moreover, even if the user does have questions in mind, the aim is to retrieve overall information so these questions, as well as other questions prompted by reading the documents, are answered. This means that DR must find relationships between the …"
19,Ontology-based parser for natural language processing,"An ontology-based parser incorporates both a system and method for converting natural-language text into predicate-argument format that can be easily used by a variety of applications, including search engines, summarization applications, categorization …"
20,Natural-language processing system,"A natural-language processing system such as a machine-translation system employs a tree structure of increasingly specialized system dictionaries and attaches user dictionaries to individual system dictionaries in the tree, or helps users edit their user dictionaries by …"
21,[PDF][PDF] Human engineering fcr applied natural language processing,"Human engineeringfeaturesfo renhancingthe usabil ity of practical natural language systems al re described. Such featuresincludespelli ng correction, processing of incomplete (ell ipt ic-~ I) input?, jntfrrog-t ior of th p underlying language definition through English …"
22,Comparative study of cnn and rnn for natural language processing,"Deep neural networks (DNN) have revolutionized the field of natural language processing (NLP). Convolutional neural network (CNN) and recurrent neural network (RNN), the two main types of DNN architectures, are widely explored to handle various NLP tasks. CNN is …"
23,Automated encoding of clinical documents based on natural language processing,Objective: The aim of this study was to develop a method based on natural language processing (NLP) that automatically maps an entire clinical document to codes with modifiers and to quantitatively evaluate the method. Methods: An existing NLP system …
24,Object interactive user interface using speech recognition and natural language processing,"A system and method for interacting with objects, via a computer using utterances, speech processing and natural language processing. A Data Definition File relates networked objects and a speech processor. The Data Definition File encompasses a memory structure …"
25,Wikipedia-based semantic interpretation for natural language processing,"Adequate representation of natural language semantics requires access to vast amounts of common sense and domain-specific world knowledge. Prior work in the field was based on purely statistical techniques that did not make use of background knowledge, on limited …"
26,[BOOK][B] Spotting and discovering terms through natural language processing,Christian Jacquemin shows how the power of natural language processing (NLP) can be used to advance text indexing and information retrieval (IR). In this book Christian Jacquemin shows how the power of natural language processing (NLP) can be used to …
27,Using natural-language processing to produce weather forecasts,Improved numerical weather prediction simulations have led weather services to examine how and where human forecasters add value to forecast production. The Forecast Production Assistant (FPA) was developed with that in mind. The authors discuss the …
28,[HTML][HTML] What can natural language processing do for clinical decision support?,Computerized clinical decision support (CDS) aims to aid decision making of health care providers and the public by providing easily accessible health-related information at the point and time it is needed. natural language processing (NLP) is instrumental in using free …
29,[BOOK][B] Strategies for natural language processing,"First Published 1982 by Lawrence Erlbaum Associates, Inc. Published 2014 by Psychology Press 
711 Third Avenue, New York, NY 10017 and by Psychology Press 27 Church Road, Hove, East 
Sussex, BN3 2FA Psychology Press is an imprint of the Taylor & Francis Group, an informa business …"
30,Unlocking clinical data from narrative reports: a study of natural language processing,Objective: To evaluate the automated detection of clinical conditions described in narrative reports. Design: Automated methods and human experts detected the presence or absence of six clinical conditions in 200 admission chest radiograph reports. Study Subjects: A …
31,[BOOK][B] Natural language processing: a Paninian perspective,"T his boo k presents a Paninian perspective towards natural language processing (Nlp). It has the following three objectives: 1. T o introduce the reader to Nlp, 2. T o introduce the reader to Paninian Grammar framewor k applied to the processing of modern Indian …"
32,System for processing textual inputs using natural language processing techniques,A system filters documents in a document set retrieved from a document store in response to a query. The system obtains a first set of logical forms based on a selected one of the query and the documents in the document set. The system obtains a second set of logical forms …
33,[PDF][PDF] GENIES: a natural-language processing system for the extraction of molecular pathways from journal articles,"Abstract Systems that extract structured information from natural language passages have been highly successful in specialized domains. The time is opportune for developing analogous applications for molecular biology and genomics. We present a system, GENIES …"
34,Interactive user interface using speech recognition and natural language processing,"A system and method to interact with a computer using utterances, speech processing and natural language processing. The system comprises a speech processor to search a first grammar file for a matching phrase for the utterance, and to search a second grammar file …"
35,Network interactive user interface using speech recognition and natural language processing,"A system and method to interact with networked objects, via a computer using utterances, speech processing and natural language processing. A Data Definition File relates networked objects and a speech processor. The Data Definition File encompasses a …"
36,Natural language processing interface,"Natural language processing involves the processing of a natural language input. A natural language 
input is generally language used by a person (as opposed to a computer language or other artificial 
language), including all of the idioms, assumptions and implications of an utterance in a natural …"
37,Automatically assigning medical codes using natural language processing,"A programmed implementation for automatically assigning medical codes (including diagnosis, procedure, and level of service—ie, evaluation and management (EM)—codes) to computer readable physician notes using natural language processing. A system allows …"
38,[BOOK][B] Evaluating natural language processing systems: An analysis and review,"This comprehensive state-of-the-art book is the first devoted to the important and timely issue of evaluating NLP systems. It addresses the whole area of NLP system evaluation, including aims and scope, problems and methodology. The authors provide a wide-ranging …"
39,[BOOK][B] Graph-based natural language processing and information retrieval,"Graph theory and the fields of natural language processing and information retrieval are well-studied disciplines. Traditionally, these areas have been perceived as distinct, with different algorithms, different applications and different potential end-users. However, recent …"
40,"[BOOK][B] Natural language processing for online applications: Text retrieval, extraction and categorization","This text covers the technologies of document retrieval, information extraction, and text categorization in a way which highlights commonalities in terms of both general principles and practical concerns. It assumes some mathematical background on the part of the reader …"
41,A broad-coverage natural language processing system.,"Natural language processing systems (NLP) that extract clinical information from textual reports were shown to be effective for limited domains and for particular applications. Because an NLP system typically requires substantial resources to develop, it is beneficial if …"
42,[PDF][PDF] A simple introduction to maximum entropy models for natural language processing,"Many problems in natural language processing can be viewed as linguistic classification problems, in which linguistic contexts are used to predict linguistic classes. Maximum entropy models offer a clean way to combine diverse pieces of contextual evidence in order …"
43,[CITATION][C] Practical Natural-Language Processing by Computer,"Risto Miikkulainen draws on recent connectionist work in language comprehension tocreate a model that can understand natural language. Using the DISCERN system as an example, hedescribes a general approach to building high-level cognitive models from distributed …"
44,"[BOOK][B] Subsymbolic natural language processing: An integrated model of scripts, lexicon, and memory",
45,Natural language processing system for semantic vector representation which accounts for lexical ambiguity,"A natural language processing system uses unformatted naturally occurring text and generates a subject vector representation of the text, which may be an entire document or a part thereof such as its title, a paragraph, clause, or a sentence therein. The subject codes …"
46,Apparatus and methods for an information retrieval system that employs natural language processing of search results to improve overall precision,"Apparatus and accompanying methods for an information retrieval system that utilizes natural language processing to process results retrieved by, for example, an information retrieval engine such as a conventional statistical-based search engine, in order to improve …"
47,Natural language processing and information retrieval,"Abstract Information retrieval addresses the problem of finding those documents whose content matches a user's request from among a large collection of documents. Currently, the most successful general purpose retrieval methods are statistical methods that treat text as …"
48,Natural language processing of disfluent sentences,"An advanced model that includes new processes is provided for use as a component of an effective disfluency identifier. The disfluency identifier tags edited words in transcribed speech. A speech recognition unit in combination with a part-of-speech tagger, a disfluency …"
49,Natural language processing system and method for processing input information by predicting kind thereof,"A natural language processing method, by which a sequence of natural language information is analyzed so as to derive a concept represented by the information. In this method, the input natural language information is sequentially processed as word by word …"
50,[BOOK][B] The handbook of computational linguistics and natural language processing,"This comprehensive reference work provides an overview of the concepts, methodologies, and applications in computational linguistics and natural language processing (NLP). Features contributions by the top researchers in the field, reflecting the work that is driving …"
51,[PDF][PDF] Natural language processing and its future in medicine,"If accurate clinical information were available"" electronically, automated applications could be developed to use this information to improve patient care and dowef costs. However, to be fully retrievable, clinical information must be struetùréd or coded. Many online patient …"
52,Lexical semantic relatedness and its application in natural language processing,"A great variety of Natural Language Processing tasks, from word sense disambiguation to text summarization to speech recognition, rely heavily on the ability to measure semantic relatedness or distance between words of a natural language. This report is a …"
53,Natural language processing with modular PDP networks and distributed lexicon,"An approach to connectionist natural language processing is proposed, which is based on hierarchically organized modular parallel distributed processing (PDP) networks and a central lexicon of distributed input/output representations. The modules communicate using …"
54,Lexical knowledge representation and natural language processing,"Traditionally, semantic information in computational lexicons is limited to notions such as selectional restrictions or domain-specific constraints, encoded in a “static” representation. This information is typically used in natural language processing by a simple knowledge …"
55,Automated identification of postoperative complications within an electronic medical record using natural language processing,"Context Currently most automated methods to identify patient safety occurrences rely on administrative data codes; however, free-text searches of electronic medical records could represent an additional surveillance approach. Objective To evaluate a natural language  …"
56,[PDF][PDF] Chinese whispers-an efficient graph clustering algorithm and its application to natural language processing problems,"Abstract We introduce Chinese Whispers, a randomized graph-clustering algorithm, which is time-linear in the number of edges. After a detailed definition of the algorithm and a discussion of its strengths and weaknesses, the performance of Chinese Whispers is …"
57,System and method for natural language processing of query answers,"Candidate answers responsive to a user query are analyzed using a natural language engine to determine appropriate answers from an electronic database. The system and methods are useful for Internet based search engines, as well as distributed speech …"
58,NL-OOPS: from natural language to object oriented requirements using the natural language processing system LOLITA,"This paper describes NL-OOPS, a CASE tool that supports requirements analysis by generating object oriented models from natural language requirements documents. The full natural language analysis is obtained using as a core system the Natural Language  …"
59,[PDF][PDF] Natural language processing in medicine: an overview,"An attempt has been made to enumerate the most important and known international projects and to summarise their goals, principles, methods and results. An entire section is devoted to NLP initiatives involving the Dutch language. A more general discussion about …"
60,[HTML][HTML] The interaction of domain knowledge and linguistic structure in natural language processing: interpreting hypernymic propositions in biomedical text,"Abstract Interpretation of semantic propositions in free-text documents such as MEDLINE citations would provide valuable support for biomedical applications, and several approaches to semantic interpretation are being pursued in the biomedical informatics …"
61,[HTML][HTML] A linguistic ontology of space for natural language processing,"We present a detailed semantics for linguistic spatial expressions supportive of computational processing that draws substantially on the principles and tools of ontological engineering and formal ontology. We cover language concerned with space, actions in …"
62,Web-based models for natural language processing,"Previous work demonstrated that Web counts can be used to approximate bigram counts, suggesting that Web-based frequencies should be useful for a wide variety of Natural Language Processing (NLP) tasks. However, only a limited number of tasks have so far …"
63,Natural language processing and semantical representation of medical texts,"For medical records, the challenge for the present decade is Natural Language Processing (NLP) of texts, and the construction of an adequate Knowledge Representation. This article describes the components of an NLP system, which is currently being developed in the …"
64,Genomics and natural language processing,"Abstract The Human Genome and MEDLINE are both the foci of intense data-mining efforts worldwide. The biomedical literature has much to say about sequence, but it also seems that sequence can tell us much about the biomedical literature. Biological natural language  …"
65,A review of natural language processing techniques for opinion mining systems,"As the prevalence of social media on the Internet, opinion mining has become an essential approach to analyzing so many data. Various applications appear in a wide range of industrial domains. Meanwhile, opinions have diverse expressions which bring along …"
66,Natural language processing and the representation of clinical data,Objective: Develop a representation of clinical observations and actions and a method of processing free-text patient documents to facilitate applications such as quality assurance. Design: The Linguistic String Project (LSP) system of New York University utilizes syntactic …
67,[PDF][PDF] Very deep convolutional networks for natural language processing,"The dominant approach for many NLP tasks are recurrent neural networks, in particular LSTMs, and convolutional neural networks. However, these architectures are rather shallow in comparison to the deep convolutional networks which are very successful in computer …"
68,"MedScan, a natural language processing engine for MEDLINE abstracts","Motivation: The importance of extracting biomedical information from scientific publications is well recognized. A number of information extraction systems for the biomedical domain have been reported, but none of them have become widely used in practical applications …"
69,[BOOK][B] Deep learning in natural language processing,"In recent years, deep learning has fundamentally changed the landscapes of a number of areas in artificial intelligence, including speech, vision, natural language, robotics, and game playing. In particular, the striking success of deep learning in a wide variety of natural  …"
70,Systems for natural language processing of sentence based queries,"Abstract Systems are disclosed for responding to text-based queries. The systems use natural language routines to identify word phrases present in a user query. The natural language routines may also consider the context of the user query, and may load one or …"
71,Natural language processing for a location-based services system,A method and system for providing natural language processing in a communication system is disclosed. A voice request is generated with a remote terminal that is transmitted to a base station. A speech recognition application is then used to identify a plurality of words that are …
72,[PDF][PDF] Self-organizing maps in natural language processing,"Abstract Kohonen's Self-Organizing Map (SOM) is one of the most popular arti cial neural network algorithms. Word category maps are SOMs that have been organized according to word similarities, measured by the similarity of the short contexts of the words. Conceptually …"
73,System and method for selecting and presenting advertisements based on natural language processing of voice-based input,"A system and method for selecting and presenting advertisements based on natural language processing of voice-based inputs is provided. A user utterance may be received at an input device, and a conversational, natural language processor may identify a request …"
74,[BOOK][B] Natural language processing: the PLNLP approach,"Natural language is easy for people and hard for machines. For two generations, the tantalizing goal has been to get computers to handle human languages in ways that will be compelling and useful to people. Obstacles are many and legendary. Natural Language …"
75,Natural language processing,"This chapter begins with the introduction of human language and intelligence. We also introduce the six linguistics levels in human language. Next, we study NLP main components that include natural language understanding (NLU), speech recognition …"
76,[PDF][PDF] Neural transfer learning for natural language processing,Language is often regarded as the hallmark of human intelligence. Developing systems that can understand human language is thus one of the main obstacles on the quest towards artificial general intelligence. This objective has driven research in artificial intelligence and …
77,Parsing method and system for natural language processing,The present invention provides a method and system to improve the accuracy of natural language processing systems by enabling them to acquire a parsing output that is accurate to a degree for any type of sentence. The feature of the present invention is that a sentence …
78,"[PDF][PDF] Natural Language Processing to the Rescue? Extracting"" Situational Awareness"" Tweets During Mass Emergency.","In times of mass emergency, vast amounts of data are generated via computer-mediated communication (CMC) that are difficult to manually cull and organize into a coherent picture. Yet valuable information is broadcast, and can provide useful insight into time-and safety …"
79,Natural language processing in radiology: a systematic review,"Radiological reporting has generated large quantities of digital content within the electronic health record, which is potentially a valuable source of information for improving clinical care and supporting research. Although radiology reports are stored for communication and …"
80,Syntactic n-grams as machine learning features for natural language processing,"In this paper we introduce and discuss a concept of syntactic n-grams (sn-grams). Sn-grams differ from traditional n-grams in the manner how we construct them, ie, what elements are considered neighbors. In case of sn-grams, the neighbors are taken by following syntactic …"
81,Automated detection of adverse events using natural language processing of discharge summaries,Objective: To determine whether natural language processing (NLP) can effectively detect adverse events defined in the New York Patient Occurrence Reporting and Tracking System (NYPORTS) using discharge summaries. Design: An adverse event detection system for …
82,System and method for natural language processing of sentence based queries,"Sentence based queries from a user are analyzed using a natural language engine to determine appropriate answers from an electronic database. The system and methods are useful for Internet based search engines, as well as distributed speech recognition systems …"
83,[BOOK][B] The semantics of prepositions: From mental processing to natural language processing,I wish to express my thanks to all authors who have contributed to this book. The majority of the papers in this volume were presented at a workshop on the semantics of prepositions held at the Institut ﬁir Angewandte Informationsforschung in February 1990. The range of the …
84,Inheritance in natural language processing,"In this introduction to the special issues, we begin by outlining a concrete example that indicates some of the motivations leading to the widespread use of inheritance networks in computational linguistics. This example allows us to illustrate some of the formal choices that …"
85,Learning to rank for information retrieval and natural language processing,"Abstract NOTE⁃ A New Edition of This Title is Available: Learning to Rank for Information Retrieval and Natural Language Processing, Second Edition Learning to rank refers to machine learning techniques for training the model in a ranking task. Learning to rank is …"
86,"[PDF][PDF] Integrating plot, character and natural language processing in the interactive drama Façade","Façade is an artificial intelligence-based art/research experiment in electronic narrative–an attempt to move beyond traditional branching or hyper-linked narrative to create a fully-realized, one-act interactive drama. We are completing a three year collaboration to …"
87,[PDF][PDF] On some applications of finite-state automata theory to natural language processing,"We describe new applications of the theory of automata to natural language processing: the representation of very large scale dictionaries and the indexation of natural language texts. They are based on new algorithms that we introduce and describe in detail. In particular, we …"
88,[HTML][HTML] A comparison of word embeddings for the biomedical natural language processing,Background Word embeddings have been prevalently used in biomedical Natural Language Processing (NLP) applications due to the ability of the vector representations being able to capture useful semantic properties and linguistic relationships between words …
89,An overview of empirical natural language processing,"In recent years, there has been a resurgence in research on empirical methods in natural language processing. These methods employ learning techniques to automatically extract linguistic knowledge from natural language corpora rather than require the system …"
90,Natural language processing,Natural language processing (NLP) is the study of mathematical and computational modeling of various aspects of language and the development of a wide range of systems. These include spoken language systems that integrate speech and natural language; …
91,CLAMP–a toolkit for efficiently building customized clinical natural language processing pipelines,"Existing general clinical natural language processing (NLP) systems such as MetaMap and Clinical Text Analysis and Knowledge Extraction System have been successfully applied to information extraction from clinical text. However, end users often have to customize existing …"
92,[BOOK][B] Connectionist approaches to natural language processing,"Originally published in 1992, when connectionist natural language processing (CNLP) was a new and burgeoning research area, this book represented a timely assessment of the state of the art in the field. It includes contributions from some of the best known researchers …"
93,[HTML][HTML] Natural language processing systems for capturing and standardizing unstructured clinical information: a systematic review,We followed a systematic approach based on the Preferred Reporting Items for Systematic Reviews and Meta-Analyses to identify existing clinical natural language processing (NLP) systems that generate structured information from unstructured free text. Seven literature …
94,System and method for selecting and presenting advertisements based on natural language processing of voice-based input,"A system and method for selecting and presenting advertisements based on natural language processing of voice-based inputs is provided. A user utterance may be received at an input device, and a conversational, natural language processor may identify a request …"
95,Prediction and substantiation: A new approach to natural language processing,This paper describes a new approach to natural language processing which results in a very robust and efficient system. The approach taken is to integrate the parser with the rest of the system. This enables the parser to benefit from predictions that the rest of the system makes …
96,[BOOK][B] Lexical functions in lexicography and natural language processing,"Lexical Functions in Lexicography and Natural Language Processing is entirely devoted to the topic of Lexical Functions, which have been introduced in the framework of the Meaning-Text Theory (MTT) as a means for describing restricted lexical co-occurrence and …"
97,Suicide note classification using natural language processing: A content analysis,"Suicide is the second leading cause of death among 25–34 year olds and the third leading cause of death among 15–25 year olds in the United States. In the Emergency Department, where suicidal patients often present, estimating the risk of repeated attempts is generally …"
98,[HTML][HTML] A pattern dictionary for natural language processing,"This paper briefly surveys three of the main resources for word sense disambiguation that are currently in use–WordNet, FrameNet, and Levin classes–and proposes an alternative approach, focusing on verbs and their valencies. This new approach does not attempt to …"
99,"Natural language processing method by analyzing primitive sentences, logical clauses, clause types and verbal blocks","Methods for converting a natural language sentence into a set of primitive sentences. The method includes identifying ver bal blocks in the sentence, splitting the sentence into a set of logical clauses, determining a type of each clause wherein the type of each clause …"
